"1001";"SOFORT Banking"
"1002";"avec protection du consommateur"
"1003";"(méthode de paiement recommandée)"
"1004";"* Système de paiement avec protection des données certifiée TÜV (organisme allemand de contrôle et de normalisation)
<br>* Paiement possible sans enregistrement<br>
* Article/prestation immédiatement expédiés en cas de disponibilité<br>
* Veuillez tenir à disposition les données vous permettant d'accéder à votre banque en ligne (code confidentiel/de confirmation)"
"1005";"* En effectuant votre paiement avec SOFORT Banking, vous profitez de la protection du consommateur ! "<a href='https://www.handelsbank.com/en/buyer-protection/information-for-buyers.html' target='_blank'>En savoir plus</a>."
"1201";"La méthode de paiement choisie est impossible ou a été annulée sur demande du client. Veuillez sélectionner une autre méthode de paiement."
"1202";"Dépassement du temps prévu pour le paiement. Opération interrompue pour des raisons de sécurité. Aucune transaction n'a été effectuée. Veuillez recommencer l'opération."
"1606";"Clé de configuration:"
"1607";"clé de configuration attribuée par SOFORT - elle sert entre autres de mot de passe."
"1611";"Configuration avancée"
"1613";"Bannière ou texte lors du choix de la méthode de paiement:"
"1614";"Détermine si le choix de la méthode de paiement doit être indiquée par un logo accompagné d'un texte descriptif ou seulement par une bannière."
"1615";"Bannière"
"1616";"Logo et texte"
"1617";"Afficher le texte/la bannière de la protection du consommateur"
"1618";"Détermine si le texte ou la bannière de la protection du consommateur est indiqué dans la sélection des méthodes de paiement. L'affichage ne doit apparaître que si la protection du consommateur de SOFORT est  activée dans le projet."
"1619";"Méthode de paiement recommandée"
"1620";"Désigner cette méthode de paiement comme « méthode de paiement recommandée » lors du choix de la méthode de paiement."
"1623";"Référence de paiement 1:"
"1624";"Détermine le texte devant être utilisé comme référence de paiement lors d'un virement (27 caractères maximum - les caractères spéciaux sont remplacés/supprimés)."
"1625";"Référence de paiement 2:"
"1630";"Activer journalisation des événements"
"1631";"Active l'historique des actions du module. À n'activer que dans le cas d'une recherche d'erreur. Le fichier journal se trouve [[PFAD]]."
"1632";"Désignez un statut pour votre commande réalisée via SOFORT parmi les modifications de statut suivantes: "
"1633";"Temporaire:"
"1634";"Définissez le statut des commandes qui n'ont pas encore été réglées."
"1635";"Paiement confirmé:"
"1636";"Définissez le statut des commandes qui ont été effectuées avec succès avec SOFORT Banking."
"1637";"Montant crédité:"
"1638";"Définissez le statut des commandes dont le montant a été crédité sur votre compte. Seulement disponible avec un compte bancaire SOFORT Bank. "
"1639";"Paiement interrompu:"
"1640";"Définissez le statut des commandes qui ont été annulées."
"1641";"Vérification de la commande:"
"1642";"Définissez le statut des commandes dont le paiement doit être vérifié. Seulement disponible avec un compte bancaire SOFORT Bank."
"1643";"Remboursement partiel:"
"1644";"Définissez le statut des commandes dont le montant doit être remboursé en partie."
"1645";"Remboursement:"
"1646";"Définissez le statut des commandes dont le montant doit être remboursé sans son intégralité."
"1648";"Temporaire"
"1649";"Activée"
"1650";"Annulée"
"1651";"Vérification de la commande"
"1652";"Remboursement"
"1653";"*pas de modification*"
"1654";"Rejeter les paiements interrompus"
"1655";"Les commandes dont le paiement a été interrompu ne sont pas sauvegardées."
"2001";"iDEAL"
"2002";"Sélection banque:"
"2605";"Mot de passe du projet:"
"2606";"Mot de passe attribué par SOFORT permettant d'appeler le formulaire de paiement iDEAL en toute fiabilité."
"2607";"Mot de passe de notification:"
"2608";"Mot de passe attribué par SOFORT pour transmettre les notifications en toute fiabilité."
"2632";"Désignez un statut pour votre commande réalisée via iDEAL parmi les modifications de statut suivantes:"
"2633";"Temporaire:"
"2634";"Définissez le statut des commandes qui n'ont pas encore été réglées."
"2635";"Paiement en cours:"
"2636";"Définissez le statut des commandes réglées, mais n'ayant pas été confirmées et garanties par iDEAL."
"2637";"Paiement confirmé:"
"2638";"Définissez le statut des commandes réglées, confirmées et garanties par iDEAL."
"2639";"Paiement interrompu:"
"2640";"Définissez le statut des commandes qui ont été annulées."
"2641";"Paiement annulé:"
"2642";"Définissez le statut des commandes qui ont été annulées par iDEAL."
"2643";"Remboursement partiel:"
"2644";"Définissez le statut des commandes dont le montant doit être remboursé en partie."
"2645";"Remboursement:"
"2646";"Définissez le statut des commandes dont le montant doit être remboursé sans son intégralité."
"2650";"Temporaire"
"2651";"En cours"
"2652";"Réglé"
"2653";"Annulé"
"2654";"Vérification de la commande"
"2655";"Remboursement"
"2656";"*pas de modification de statut*"
"4001";"Préparer la commande avant la transmission"
"4002";"Veuillez noter que cette version de module ne sera plus développée. Dans la mesure où vous êtes toujours intéressé par des mises à jour du module, veuillez passer à la nouvelle version du module (version 2.1.0 ou plus). Pour ce faire, veuillez suivre les étapes suivantes"
"4003";"Ici, toutes les commandes de Shopware pour lesquelles le virement avec SOFORT Banking n'a pas pu être mené à bien (c'est-à-dire que SOFORT n'a pas pu confirmer la transaction après un délai de 4 500 secondes) seront supprimées."
